Şəhər,Model,Yeni,Mühərrik,Yürüş,Ötürücü,price,Sürətlər qutusu,Rəng,Qəzalı,url,Sahiblər,Marka,Vəziyyəti,Hansı bazar üçün yığılıb,Buraxılış ili,Yerlərin sayı,Ban növü
Bakı,CX-60,Bəli,3.3 L / 280 a.g. / Hibrid,0 km,Tam,101 900 AZN,Avtomat (AT),Göy,,https://turbo.az/autos/7544897-mazda-cx-60,,Mazda,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2025,5,"Offroader / SUV, 5 qapı"
Bakı,L9,Xeyr,1.5 L / 449 a.g. / Plug-in Hibrid,35 000 km,Tam,≈ 90 100 AZN,Avtomat (Reduktor),Qara,,https://turbo.az/autos/9582558-li-auto-l9,0,Li Auto,"Vuruğu yoxdur, rənglənməyib",Çin,2024,5,"Offroader / SUV, 5 qapı"
Bakı,Yaris Cross,Bəli,1.5 L / 132 a.g. / Hibrid,0 km,Ön,≈ 45 220 AZN,Avtomat (Variator),Yaş Asfalt,,https://turbo.az/autos/9401203-toyota-yaris-cross,,Toyota,"Vuruğu yoxdur, rənglənməyib",Avropa,2025,5,"Offroader / SUV, 5 qapı"
Bakı,E 220 d,Xeyr,2.2 L / 170 a.g. / Dizel,140 000 km,Arxa,≈ 37 400 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9179826-mercedes-e-220-d,,Mercedes,"Vuruğu yoxdur, rənglənməyib",Koreya,2015,,Sedan
Bakı,Qiyuan Q07,Bəli,1.5 L / 215 a.g. / Plug-in Hibrid,0 km,Ön,44 400 AZN,Avtomat (Variator),Qara,,https://turbo.az/autos/9584606-changan-qiyuan-q07,0,Changan,"Vuruğu yoxdur, rənglənməyib",Çin,2025,5,"Offroader / SUV, 5 qapı"
Bakı,GLE 43 AMG 4MATIC Coupe,Xeyr,3.0 L / 390 a.g. / Benzin,59 000 km,Tam,≈ 77 350 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9627803-mercedes-gle-43-amg-4matic-coupe,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2016,5,SUV Kupe
Bakı,Sorento,Xeyr,2.0 L / 186 a.g. / Dizel,119 200 km,Ön,38 300 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9689059-kia-sorento,0,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2016,5,"Offroader / SUV, 5 qapı"
Bakı,Geometry E,Xeyr,80 a.g. / Elektro,39 000 km,Ön,21 000 AZN,Avtomat (Reduktor),Mavi,,https://turbo.az/autos/9709665-geely-geometry-e,0,Geely,"Vuruğu yoxdur, rənglənməyib",Çin,2023,5,"Offroader / SUV, 5 qapı"
Bakı,K5,Xeyr,1.6 L / 183 a.g. / Benzin,166 500 km,Ön,36 000 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9363032-kia-k5,,Kia,"Vuruğu yoxdur, rənglənməyib",Amerika,2021,5,Sedan
Bakı,Altima,Xeyr,2.5 L / 182 a.g. / Benzin,114 000 km,Ön,25 800 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/8880124-nissan-altima,2,Nissan,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2018,5,Sedan
Bakı,E 200,Xeyr,2.0 L / 184 a.g. / Hibrid,72 000 km,Arxa,≈ 69 700 AZN,Avtomat (AT),Boz,,https://turbo.az/autos/9609213-mercedes-e-200,0,Mercedes,"Vuruğu yoxdur, rənglənməyib",Avropa,2020,5,Sedan
Bakı,K3,Xeyr,1.6 L / 136 a.g. / Dizel,123 000 km,Ön,21 800 AZN,Avtomat (Robot),Ağ,,https://turbo.az/autos/9683877-kia-k3,0,Kia,"Vuruğu yoxdur, rənglənməyib",Koreya,2017,5,Sedan
Sumqayıt,Transit,Xeyr,2.4 L / 140 a.g. / Dizel,213 000 km,Arxa,30 800 AZN,Mexaniki (MT),Ağ,,https://turbo.az/autos/9109445-ford-transit,0,Ford,"Vuruğu yoxdur, rənglənməyib",Avropa,2011,3,Yük maşını
Bakı,Fusion (North America),Xeyr,1.5 L / 181 a.g. / Benzin,100 000 km,Ön,16 900 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9737192-ford-fusion-north-america,0,Ford,"Vuruğu yoxdur, rənglənməyib",Amerika,2019,5,Sedan
Bakı,X55,Xeyr,1.5 L / 150 a.g. / Benzin,53 000 km,Ön,21 500 AZN,Avtomat (Variator),Ağ,,https://turbo.az/autos/9741704-baic-x55,,Baic,"Vuruğu yoxdur, rənglənməyib",Çin,2020,5,"Offroader / SUV, 5 qapı"
Bakı,RAV4,Xeyr,2.4 L / 166 a.g. / Benzin,355 692 km,Ön,18 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9741707-toyota-rav4,,Toyota,"Vuruğu yoxdur, rənglənməyib",,2007,5,"Offroader / SUV, 5 qapı"
Bakı,Sonata,Xeyr,2.0 L / 165 a.g. / Benzin,213 000 km,Ön,25 000 AZN,Avtomat (AT),Ağ,,https://turbo.az/autos/9365775-hyundai-sonata,1,Hyundai,"Vuruğu yoxdur, rənglənməyib",,2015,5,Sedan
Bakı,Picanto,Xeyr,1.3 L / 85 a.g. / Benzin,117 000 km,Ön,14 900 AZN,Avtomat (AT),Qara,,https://turbo.az/autos/9741706-kia-picanto,,Kia,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,2012,5,"Hetçbek, 5 qapı"
